attributeName,formatString,unit,numberType,definition,attributeDefinition,columnClasses,minimum,maximum,missingValueCode,missingValueCodeExplanation
discharge_location,,,,,location short code,factor,,,,
discharge_datetime,YYYY-MM-DD hh:mm:ss,,,,measurement date and time,Date,,,,
water_height,,meter,real,,water height above sensor,numeric,0,99.999,NA,missing value
raw_discharge,,litersPerSecond,real,,discharge (Q) estimated from Manning equation,numeric,0,21704.24,NA,missing value
edited_discharge,,litersPerSecond,real,,corrections to raw_discharge,numeric,-2.581,21704.24,NA,missing value
